ControlSet	CacheEntryPosition	Path	LastModifiedTimeUTC	Executed
1	0	C:\Windows\system32\launchtm.exe	2017-03-18 20:57:08	NA
1	1	C:\Windows\9129837.exe	2008-11-12 06:07:32	NA
1	2	C:\Windows\notepad.exe	2017-03-18 20:58:25	NA
1	3	C:\Windows\bfsvc.exe	2017-06-03 08:51:12	NA
1	4	C:\Windows\HelpPane.exe	2017-06-03 08:59:43	NA
1	5	C:\Windows\hh.exe	2017-03-18 20:57:33	NA
1	6	C:\Windows\javainstall.exe	2008-11-12 06:07:32	NA
1	7	C:\Windows\system32\RAServer.exe	2017-03-18 20:59:52	NA
1	8	C:\Users\ROCKHA~1\AppData\Local\Temp\8354F86C-DBEC-4515-BC23-BFA0032644E9\dismhost.exe	2017-03-18 11:40:21	NA
1	9	C:\Users\Rock Hammerfist\AppData\Local\Temp\8354F86C-DBEC-4515-BC23-BFA0032644E9\DismHost.exe	2017-03-18 11:40:21	NA
1	10	C:\Windows\SystemApps\Microsoft.Windows.SecHealthUI_cw5n1h2txyewy\Application	2017-07-12 15:11:23	NA
1	11	C:\Program Files\Windows Defender\mpuxsrv.exe	2017-03-18 20:56:44	NA
1	12	C:\Windows\PSEXESVC.exe	2017-08-01 17:48:09	NA
1	13	C:\Windows\regedit.exe	2017-03-18 20:57:08	NA
1	14	C:\Windows\system32\UserAccountControlSettings.exe	2017-03-18 20:58:25	NA
1	15	C:\Windows\Temp\AvgClean_2cd25579-8334-42dd-901a-6c98f5133bca\avgsetupx.exe	2017-07-05 14:50:28	NA
1	16	C:\Program Files (x86)\AVG\Antivirus\OpenVPN\driver\win64\ndis6\tapinstall.exe	2017-07-05 14:52:22	NA
1	17	C:\Program Files (x86)\AVG\Antivirus\DataSafeMonitor.exe	2017-07-24 19:50:50	NA
1	18	C:\Windows\system32\netsh.exe	2017-03-18 20:58:48	NA
1	19	C:\Windows\SysWOW64\netsh.exe	2017-03-18 20:58:48	NA
1	20	C:\Windows\SysWOW64\WerFault.exe	2017-03-18 20:58:49	NA
1	21	"0000000b	0006000200000000	000a00003fff0000	014c	windows.immersivecontrolpanel	cw5n1h2txyewy	neutral"	1601-01-01 00:00:00	NA
1	22	C:\Windows\System32\rdpclip.exe	2017-03-19 02:31:09	NA
1	23	C:\Windows\system32\atbroker.exe	2017-03-18 20:57:30	NA
1	24	C:\Windows\system32\TSTheme.exe	2017-03-18 20:58:33	NA
1	25	C:\Windows\system32\systempropertiesadvanced.exe	2017-03-18 20:58:25	NA
1	26	C:\Windows\system32\FlashPlayerCPLApp.cpl	2017-06-30 14:47:29	NA
1	27	C:\Windows\system32\mmc.exe	2017-03-18 20:57:05	NA
1	28	C:\Windows\system32\CompMgmtLauncher.exe	2017-03-18 20:57:03	NA
1	29	C:\Users\Rock Hammerfist\Downloads\cc_setup532 (1).exe	2017-07-25 14:09:40	NA
1	30	C:\Program Files\Microsoft Office\Office15\MsoSync.exe	2014-01-23 20:06:24	NA
1	31	C:\Windows\system32\control.exe	2017-03-18 20:58:29	NA
1	32	C:\Users\Rock Hammerfist\AppData\Local\Google\Chrome\User Data\SwReporter\20.114.2\software_reporter_tool.exe	2017-07-13 19:02:18	NA
1	33	C:\Program Files\WindowsApps\Microsoft.ZuneMusic_10.17062.14111.0_x64__8wekyb3d8bbwe\Application	2017-07-31 19:24:06	NA
1	34	C:\Users\ROCKHA~1\AppData\Local\Temp\247B9A05-0A27-4079-8170-5729BCB2E4A8\dismhost.exe	2017-03-18 11:40:21	NA
1	35	C:\Users\Rock Hammerfist\AppData\Local\Temp\247B9A05-0A27-4079-8170-5729BCB2E4A8\DismHost.exe	2017-03-18 11:40:21	NA
1	36	C:\Windows\Installer\MSI8E42.tmp	2017-07-31 19:29:35	NA
1	37	C:\Windows\Installer\MSI1EF.tmp	2017-07-31 19:28:59	NA
1	38	"00000009	2dba06ab1b620000	000a00003ad70000	8664	Microsoft.StorePurchaseApp	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	39	"00000009	000a42a6371f0000	000a00003ad80000	8664	Microsoft.ZuneMusic	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	40	"00000009	000206aa078e0000	000a00003ad20000	8664	Microsoft.OneConnect	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	41	C:\Program Files\WindowsApps\Microsoft.WindowsStore_11706.1001.26.0_x64__8wekyb3d8bbwe\Application	2017-07-31 19:23:54	NA
1	42	"00000009	2dba03e9001a0000	000a00003ad70000	8664	Microsoft.WindowsStore	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	43	"00000009	0005000b06690000	000a000038390000	8664	Microsoft.Getstarted	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	44	C:\Program Files\Common Files\Microsoft Shared\Office15\OLicenseHeartbeat.exe	2014-01-23 20:04:54	NA
1	45	C:\Users\Rock Hammerfist\AppData\Local\Microsoft\OneDrive\17.3.6943.0625\FileSyncConfig.exe	2017-07-31 19:21:45	NA
1	46	C:\Program Files\CCleaner\CCleaner.exe	2017-06-30 12:38:08	NA
1	47	C:\Program Files\Microsoft Office\Office15\msoia.exe	2014-01-23 17:54:12	NA
1	48	C:\Program Files\Common Files\Microsoft Shared\Office15\msosqm.exe	2012-10-02 00:35:42	NA
1	49	C:\Program Files\Microsoft Office\Office15\FIRSTRUN.EXE	2012-10-02 00:34:44	NA
1	50	C:\Program Files\Common Files\Microsoft Shared\OFFICE15\LICLUA.EXE	2012-10-02 00:34:38	NA
1	51	C:\Program Files\Microsoft Office\Office15\WINWORD.EXE	2014-01-23 20:06:42	NA
1	52	C:\Windows\Installer\MSIA992.tmp	2017-07-25 14:56:57	NA
1	53	C:\Program Files\Microsoft Office\Office15\msohtmed.exe	2012-10-02 00:35:44	NA
1	54	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\accicons.exe	2017-07-25 14:55:25	NA
1	55	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\xlicons.exe	2017-07-25 14:55:24	NA
1	56	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\pptico.exe	2017-07-25 14:55:24	NA
1	57	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\wordicon.exe	2017-07-25 14:55:24	NA
1	58	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\pubs.exe	2017-07-25 14:55:24	NA
1	59	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\lyncicon.exe	2017-07-25 14:55:25	NA
1	60	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\outicon.exe	2017-07-31 19:30:03	NA
1	61	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\grv_icons.exe	2017-07-25 14:55:25	NA
1	62	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\dbcicons.exe	2017-07-31 19:30:03	NA
1	63	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\msouc.exe	2017-07-25 14:55:24	NA
1	64	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\misc.exe	2017-07-25 14:55:24	NA
1	65	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\inficon.exe	2017-07-25 14:55:25	NA
1	66	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\joticon.exe	2017-07-25 14:55:25	NA
1	67	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\osmadminicon.exe	2017-07-25 14:55:24	NA
1	68	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\osmclienticon.exe	2017-07-25 14:55:24	NA
1	69	C:\Windows\Installer\{91150000-0011-0000-1000-0000000FF1CE}\sscicons.exe	2017-07-31 19:30:03	NA
1	70	C:\Windows\System32\wevtutil.exe	2017-03-18 20:57:58	NA
1	71	C:\Windows\syswow64\wevtutil.exe	2017-03-18 20:58:51	NA
1	72	C:\Windows\syswow64\lodctr.exe	2017-03-18 20:58:56	NA
1	73	C:\Windows\syswow64\schtasks.exe	2017-03-18 20:58:47	NA
1	74	C:\Users\ROCKHA~1\AppData\Local\Temp\ose00000.exe	2012-10-02 00:44:32	NA
1	75	C:\Users\Rock Hammerfist\AppData\Local\Temp\ose00000.exe	2012-10-02 00:44:32	NA
1	76	SIGN.MEDIA=1282DC66 proplusr.ww\ose.exe	2012-10-02 00:44:32	NA
1	77	SIGN.MEDIA=23186C setup.exe	2012-10-02 00:25:32	NA
1	78	SIGN.MEDIA=D10FA57 Drobo-Dashboard-2.8.3.exe	2016-10-26 15:18:18	NA
1	79	C:\Windows\system32\wbem\unsecapp.exe	2017-03-18 20:57:50	NA
1	80	C:\Program Files\CCleaner\CCleaner64.exe	2017-06-30 12:38:10	NA
1	81	C:\Windows\SysWOW64\PING.EXE	2017-03-18 20:58:51	NA
1	82	C:\Users\Rock Hammerfist\Downloads\cc_setup532.exe	2017-07-25 14:09:40	NA
1	83	C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.17062.12911.0_x64__8wekyb3d8bbwe\Application	2017-07-24 19:58:22	NA
1	84	C:\Users\ROCKHA~1\AppData\Local\Temp\D0E1718E-A99E-43F5-A971-1E565F907EF8\dismhost.exe	2017-03-18 11:40:21	NA
1	85	C:\Users\Rock Hammerfist\AppData\Local\Temp\D0E1718E-A99E-43F5-A971-1E565F907EF8\DismHost.exe	2017-03-18 11:40:21	NA
1	86	"00000009	000a000300010000	000a000038390000	8664	KeeperSecurityInc.Keeper	kejf07qmg0jnm	"	1601-01-01 00:00:00	NA
1	87	"00000000	0001005d05790000	000a000028000000	8664	king.com.CandyCrushSodaSaga	kgqvnymyfvs32	"	1601-01-01 00:00:00	NA
1	88	C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_17.8414.5925.0_x64__8wekyb3d8bbwe\Application	2017-07-24 19:59:16	NA
1	89	"00000009	001120de17250000	000a000037b10000	8664	Microsoft.MicrosoftOfficeHub	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	90	"00000009	000a06aa07460000	000a00003ad70000	8664	Microsoft.WindowsCalculator	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	91	C:\Users\Rock Hammerfist\Downloads\NOVA\novasdkdev.exe	2017-07-14 13:13:47	NA
1	92	C:\Users\Rock Hammerfist\Downloads\NOVA\novapdf-full.exe	2017-07-14 13:13:19	NA
1	93	C:\Users\Rock Hammerfist\Downloads\NOVA\novaoemdev.exe	2017-07-14 13:13:52	NA
